"","P_cor"
"COL4A2","0.132325240831343"
"DCK","0.370669745279815"
"DIAPH3","0"
"DTL","0"
"EBF4","0.0311061545338516"
"ECT2","0"
"EGLN1","0.116425971282859"
"ESM1","0"
"EXT1","0.064860551723604"
"FGF18","0.104378884376034"
"FLT1","0"
"GMPS","0"
"GNAZ","0.308912378245653"
"GPR126","0.156749656048576"
"GPR180","0.0771346833651551"
"GSTM3","0.0572602882538982"
"IGFBP5","0.127440454898603"
"JHDM1D","0.145223955276793"
"LIN9","0"
"MCM6","0"
"MMP9","0.414649767693058"
"MS4A7","0.141129281363184"
"MTDH","0"
"NUSAP1","0"
"ORC6L","0"
"OXCT1","0.331429502924263"
"PALM2","0.0470470555900572"
"PECI","0.169679333039829"
"PITRM1","0.127621893889501"
"PRC1","0"
"RAB6B","0.473152779568616"
"RASSF7","0.409129943654838"
"RECQL5","0.138280271549745"
"RFC4","0"
"RTN4RL1","0.0186373567578503"
"RUNDC1","0.17413902754634"
"SCUBE2","0.0326455870014452"
"SERF1A","0.104341818376527"
"SLC2A3","0.150359883839637"
"STK32B","0.126358956487202"
"TGFB3","0.253760607918394"
"TSPYL5","0.156653778748854"
"UCHL5","0.456833378488083"
"AKT2","0.11486241178457"
"AKT3","0.288278522762392"
"APC2","0.183139946252944"
"ARAF","0.0536385869876987"
"AXIN1","0"
"AXIN2","0.418670116734227"
"BAK1","0.475832887994785"
"BAX","0"
"BRAF","0.0417037987243634"
"CCND1","0.218712469631692"
"CDK4","0.391971256490772"
"CDK6","0.321901264798853"
"CDKN1A","0.0675905373656273"
"CSNK1A1L","0.165156853877374"
"CSNK1A1","0.221468061302918"
"CTNNB1","0.117552856248605"
"DDB2","0.280246511159657"
"DLL1","0.515524058936139"
"DLL3","0.165277686639175"
"DLL4","0.305942607679292"
"DVL1","0"
"DVL2","0.229755775102505"
"DVL3","0.417798774508286"
"E2F1","0"
"E2F2","0"
"E2F3","0"
"EGFR","0.509737902211512"
"EGF","0.207957193387921"
"ESR2","0"
"FGF10","0.419794585486374"
"FGF16","0.121963567909174"
"FGF17","0"
"FGF19","0.229862550149096"
"FGF1","0"
"FGF20","0.154765760248417"
"FGF21","0.0980479730168188"
"FGF22","0.107026960200581"
"FGF23","0.0608383335415374"
"FGF2","0"
"FGF3","0.0482803309401615"
"FGF4","0.0438207468111703"
"FGF6","0"
"FGF7","0.427912077313774"
"FGF8","0.287212713718317"
"FGF9","0.469229612845589"
"FGFR1","0.503803043924487"
"FLT4","0"
"FOS","0"
"FRAT1","0.0612735943993577"
"FRAT2","0.320270718919078"
"FZD10","0.0739794157810044"
"FZD1","0.133003915439258"
"FZD2","0.430395762345736"
"FZD3","0.151005532260514"
"FZD4","0"
"FZD5","0.367791606982323"
"FZD6","0.00151153690939349"
"FZD7","0"
"FZD8","0.301257818929315"
"FZD9","0"
"GADD45A","0.192233175442304"
"GADD45B","0.0890797723853681"
"GADD45G","0.139826370297515"
