"","S_cor"
"JAG1","0.290749629243879"
"JAG2","0"
"JUN","0.549693497940637"
"KIT","0"
"LEF1","0"
"LRP5","0.42268463595786"
"LRP6","0.397625551890432"
"MAP2K1","0.0159564253249864"
"MAP2K2","0.179590102483236"
"MAPK1","0.0236669127303489"
"MAPK3","0.150247414301717"
"MTOR","0.0482976363863681"
"MYC","0.479656570675261"
"NCOA1","0"
"NCOA3","0.173378876517805"
"NFKB2","0.247699407897271"
"NOTCH1","0.357573853423688"
"NOTCH2","0.146820531010445"
"NOTCH3","0.0153138847078728"
"NOTCH4","0"
"NRAS","0.24191654234325"
"PGR","0.0138146232679412"
"PIK3CB","0.0971307232869975"
"PIK3CD","0"
"PIK3R1","0"
"PIK3R2","0"
"PIK3R3","0.4293242223347"
"POLK","0.245343425634522"
"RAF1","0.018312407587736"
"RB1","0.109981535629268"
"RPS6KB1","0.0273079762273257"
"RPS6KB2","0"
"SHC1","0.261621121268065"
"SHC2","0.231207532058024"
"SHC3","0.353719685906847"
"SHC4","0"
"SOS1","0.331658048533441"
"SOS2","0"
"SP1","0.213430574984549"
"TCF7L1","0"
"TCF7L2","0.560830868637272"
"TCF7","0.384132198931047"
"TNFSF11","0.304699155094182"
"WNT10A","0.146822764552259"
"WNT10B","0.407480940743663"
"WNT11","0.425683158837723"
"WNT16","0.0778836971729804"
"WNT1","0.280760931608153"
"WNT2B","0.278755537724426"
"WNT2","0.362499998154891"
"WNT3A","0.0741070468905459"
"WNT3","0.109553175217859"
"WNT4","0.061148448728639"
"WNT5A","0.121975627148721"
"WNT5B","0.373423188645822"
"WNT6","0.390224038950142"
"WNT7A","0.0107663205883211"
"WNT7B","0.373214685969819"
"WNT8A","0.259267664214081"
"WNT8B","0.157819436277138"
"WNT9A","0.0154209865402309"
"WNT9B","0.296582127896584"
"ATF3","0"
"BATF","0.242130722548954"
"BCL11A","0"
"BCL3","0.433822006654495"
"BCLAF1","0.089848596293044"
"BDP1","0"
"BHLHE40","0.169951993226533"
"BRF1","0"
"BRF2","0.047012555152141"
"CCNT2","0.0838515505333176"
"CEBPB","0.264833824353633"
"CHD2","0"
"CTBP2","0.362499998154891"
"CTCFL","0.132898817639651"
"CTCF","0.139324223810787"
"E2F4","0.190513292974166"
"E2F6","0.0497968978262997"
"EBF1","0"
"EGR1","0"
"ELF1","0.0300923189014843"
"ELK4","0.0881351546474079"
"EP300","0.0714290986024557"
"ESRRA","0.0195974888219631"
"ETS1","0.334228211001896"
"FOSL1","0.170166173432237"
"FOSL2","0.0273079762273257"
"FOXA1","0"
"FOXA2","0.068611496188479"
"GABPA","0"
"GATA1","0.140816959290599"
"GATA2","0.102056868018201"
"GATA3","0.403836777855863"
"GTF2B","0.0862075327960672"
"GTF2F1","0.0652178726370248"
"HDAC2","0.234848595555001"
"HMGN3","0.386488181193797"
"HNF4A","0.108168471045322"
"HNF4G","0.0376967197673097"
"HSF1","0.228851549795274"
"IRF1","0.21728581868723"
"IRF3","0.125188330234289"
"IRF4","0.28796528656972"
"JUND","0"
"KAT2A","0.0247378137588715"
"MAFF","0"
"MAFK","0.346008122315644"
"MAX","0.155387739238626"
"MEF2A","0.331872228739146"
"MEF2C","0"
"MXI1","0.505144015154098"
"NANOG","0.0546374331280823"
"NFE2","0.0200260015556018"
"NFKB1","0.118548743857449"
"NFYA","0.324804281950897"
"NFYB","0.113194238714836"
"NR2C2","0"
"NR3C1","0"
"NRF1","0.317736335162648"
"PAX5","0.0492839637136764"
"PBX3","0.0658604132541383"
"POLR3A","0.132470457228242"
"POU2F2","0"
"POU5F1","0.333915432655484"
"PPARGC1A","0"
"PRDM1","0.198223780379529"
"RAD21","0.432108565008859"
"REST","0.0566506644088442"
"RFX5","0.525705314901732"
"RXRA","0.254553174479816"
"SETDB1","0.409619643409885"
"SIN3A","0.126901771879925"
"SIRT6","0"
"SIX5","0.0737850808652054"
"SMARCA4","0"
"SMARCB1","0.361429097126369"
"SMARCC1","0.375136630291458"
"SMARCC2","0.271045050319064"
"SMC3","0.0797821266249318"
"SP2","0.407263661147135"
"SPI1","0.249412849542908"
"SREBF1","0.268903248262018"
"SREBF2","0.0825664692990905"
"SRF","0.422898816163565"
"STAT1","0"
"STAT2","0.161598965204056"
"STAT3","0.0144571638850548"
"SUZ12","0.221569422801321"
"TAF1","0.276613735667381"
"TAF7","0.224567945681184"
"TAL1","0"
"TBP","0.166310929729556"
"TCF12","0.0442282124779823"
"TCF4","0"
"TFAP2A","0.274043573198927"
"TFAP2C","0.185158787831553"
"THAP1","0.0596491872887074"
"TRIM28","0"
"USF1","0.444531016939721"
"USF2","0.201222303259392"
"WRNIP1","0.392699407159228"
"XRCC4","0.389700884279365"
"YY1","0.38284711769682"
"ZBTB33","0.0146713440907593"
"ZBTB7A","0.110195715834973"
"ZEB1","0"
"ZNF143","0.0703581975739331"
"ZNF263","0.242344902754659"
"ZNF274","0.198866320996642"
"ZZZ3","0.174449777546327"
