"","Ridge"
"SMYD1","0.586373266917019"
"SORBS1","0.408518218548961"
"SPC24","0.427352120121778"
"SPDYC","0"
"SPINK4","0"
"STAB2","0.612007616206158"
"SULT1C3","0"
"SYT13","0"
"SYT5","0"
"TCL1B","0"
"TDO2","0.461164961499711"
"TEX19","0"
"TFR2","0.398439845250248"
"TIMP4","0"
"TLX1","0"
"TLX3","0"
"TMEM132C","0.435073625646683"
"TMEM145","0"
"TMEM151A","0"
"TMEM215","0.493913206080789"
"TNMD","0.437083413398121"
"TNNI3","0"
"TNNT1","0"
"TNNT3","0"
"TNXB","0.517172160434275"
"TOP2A","0.461109240213565"
"TPX2","0.525980225585377"
"TRDN","0"
"TRHDE","0"
"TROAP","0.460537373948169"
"TRPA1","0"
"TRPM3","0.578799561474893"
"TSLP","0.599987603194166"
"TUBA3D","0"
"TUSC5","0.386983191315883"
"TYRP1","0"
"UBE2C","0.506302281270488"
"UHRF1","0.482943484898649"
"VGF","0"
"VIT","0.550742586543543"
"VSTM2A","0"
"WBSCR28","0.420431970515427"
"WIF1","0.539284001990386"
"WISP1","0.698206009216967"
"WIT1","0"
"WT1","0.40077164898319"
"ZIC5","0"
"ZNF716","0"
"AKT1","0"
"APC","0"
"ATM","0"
"BARD1","0"
"BRCA1","0"
"BRCA2","0"
"BRIP1","0.400321767156632"
"C11orf65","0"
"CASP8","0"
"CDC73","0"
"CDH1","0"
"CHEK2","0"
"ERBB2","0"
"ESR1","0"
"FANCC","0"
"FANCM","0"
"HERC2","0.410360161735945"
"HMMR","0.489675369647702"
"KRAS","0.521767085883199"
"MSH2","0"
"MSH6","0"
"NBN","0"
"NQO2","0"
"PALB2","0"
"PHB","0"
"PIK3CA","0"
"PMS2","0"
"PPM1D","0"
"PTEN","0"
"RAD51C","0"
"RAD51","0.44183637602918"
"RAD54L","0.424853252606405"
"RB1CC1","0"
"RET","0"
"SLC22A18","0"
"TP53","0"
"XRCC2","0.400697552438909"
"XRCC3","0"
"ALDH4A1","0"
"AP2B1","0"
"BBC3","0"
"C16orf61","0"
"C20orf46","0"
"C9orf30","0"
"CCNE2","0.481676605111149"
